id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
108,44,25,103700,0.09,518500,57956.3,132315,243796,363435,502603,641098,810321,970231,1141250,1355810,1553660,1765240,1991530,2233510,2545050,2825540,3125480,3446240,3789240,4208780,4604730,5028140,5480880,5964990,6535390,3/4/2025 0:34
109,45,10,199400,0.09,997000,112969,257670,473949,706368,976862,1246440,1575550,1887220,2220800,2638670,,,,,,,,,,,,,,,,3/4/2025 0:34
110,45,15,144700,0.09,723500,81466.1,185878,342143,510018,705410,900039,1137730,1362630,1603260,1904880,2183480,2481550,2800460,3141670,3580330,,,,,,,,,,,3/4/2025 0:34
111,45,20,118900,0.09,594500,66607.2,152017,279975,417407,577376,736652,931226,1115200,1311990,1558780,1786530,2030130,2290710,2569430,2928040,3251210,3596880,3966610,4362060,4845520,,,,,,3/4/2025 0:34
112,45,25,103800,0.09,519000,57910.7,132199,243590,363205,502441,641026,810366,970381,1141510,1356220,1554200,1765930,1992360,2234510,2546270,2826950,3127090,3448060,3791300,4211130,4607360,5031050,5484100,5968550,6539350,3/4/2025 0:34
113,46,10,199600,0.09,998000,112928,257286,473390,705742,976360,1246110,1575430,1887300,2221090,2639250,,,,,,,,,,,,,,,,3/4/2025 0:34
114,46,15,144800,0.09,724000,81410.5,185540,341627,509399,704816,899504,1137280,1362250,1602950,1904690,2183370,2481540,2800550,3141860,3580700,,,,,,,,,,,3/4/2025 0:34
115,46,20,119000,0.09,595000,66571.7,151762,279593,416960,576972,736321,930994,1115050,1311930,1558850,1786700,2030430,2291120,2569970,2928780,3252110,3597940,3967850,4363490,4847200,,,,,,3/4/2025 0:34
116,46,25,103800,0.09,519000,57829.4,131861,243046,362500,501653,640182,809462,969413,1140480,1355110,1553010,1764660,1991000,2233050,2544710,2825270,3125300,3446140,3789230,4208930,4605000,5028520,5481390,5965640,6536240,3/4/2025 0:34
117,47,10,199800,0.09,999000,112759,256763,472644,704871,975594,1245490,1575010,1887060,2221030,2639450,,,,,,,,,,,,,,,,3/4/2025 0:34
118,47,15,144900,0.09,724500,81261.9,185101,340976,508603,704031,898765,1136610,1361630,1602390,1904220,2182970,2481220,2800310,3141700,3580680,,,,,,,,,,,3/4/2025 0:34
119,47,20,119000,0.09,595000,66402.4,151293,278860,416010,575916,735190,929783,1113750,1310540,1557370,1785110,2028720,2289300,2568020,2926680,3249860,3595540,3965270,4360730,4844240,,,,,,3/4/2025 0:34
120,47,25,103900,0.09,519500,57739.1,131583,242645,362027,501224,639824,809201,969235,1140390,1355140,1553150,1764910,1991370,2233550,2545400,2826110,3126300,3447320,3790590,4210540,4606820,5030580,5483700,5968210,6539150,3/4/2025 0:34
121,48,10,200000,0.09,1000000,112590,256190,471773,703878,974663,1244700,1574410,1886620,2220760,2639420,,,,,,,,,,,,,,,,3/4/2025 0:34
122,48,15,145100,0.09,725500,81170.2,184756,340474,508074,703619,898527,1136600,1361820,1602800,1904930,2183930,2482440,2801830,3143530,3582940,,,,,,,,,,,3/4/2025 0:34
123,48,20,119100,0.09,595500,66290.2,150926,278292,415344,575256,734584,929256,1113290,1310150,1557080,1784900,2028600,2289270,2568090,2926910,3250210,3596010,3965880,4361480,4845200,,,,,,3/4/2025 0:34
124,48,25,103900,0.09,519500,57591.2,131148,241940,361133,500212,638741,808041,967992,1139060,1353720,1551620,1763270,1989620,2231670,2543390,2823960,3123990,3444850,3787950,4207700,4603790,5027320,5480220,5964480,6535150,3/4/2025 0:34
125,49,10,200200,0.09,1001000,112391,255486,470785,702601,973424,1243580,1573450,1885790,2220080,2638960,,,,,,,,,,,,,,,,3/4/2025 0:34
126,49,15,145200,0.09,726000,81000.1,184187,339647,506983,702489,897419,1135530,1360790,1601790,1903980,2183010,2481560,2800990,3142740,3582240,,,,,,,,,,,3/4/2025 0:34
127,49,20,119200,0.09,596000,66160.8,150481,277655,414509,574410,733781,928517,1112600,1309510,1556530,1784420,2028180,2288920,2567820,2926770,3250160,3596060,3966040,4361750,4845640,,,,,,3/4/2025 0:34
